group_id,title
0004e7d3192ff214,GARY LEWIS & THE PLAYBOYS - Save Your Heart For Me 1965
00054d92f0019c96,Ellie Goulding - Lights
000587757df0b0d5,Jason Derulo - Swalla (feat. Nicki Minaj & Ty Dolla $ign) [Official Music Video]
0005c8d9cc80d989,Calloway - I Wanna Be Rich
00077f1379121501,Red Hot Chili Peppers - Snow Hey Oh Cover by Lemote ft. Liam Cloud 
00160be612770310,Bon Jovi - Wanted Dead Or Alive
001f2be7054f1b28,5 Seconds of Summer - Youngblood (Official Video)
002bb1f933b968b3,Ricky Nelson - Young World (B&W Original)
004cbeef5db9940a,Darius Rucker- Wagon Wheel
004f83dda1edb206,How Am I Supposed to Live Without You
005183c1af889978,Bryan Adams - Do I Have To Say The Words?
0051ae2a01e73dd1,The Rain, The Park & Other Things
005fe0e1c2ca9845,Maroon 5 - Memories (Audio)
0079cb0905e27559,The Mighty Quinn
008bc32ea7f7bd86,The Verve Pipe - The Freshmen
009dfd06c5d7fffa,Faith Evans - Soon As I Get Home 
00b2647266dc8381,Hunter Hayes - Wanted
00bea9ea38506cbe,Good For Me (2021 Remastered Version)
00ca0c82f24b5838,The Kingsmen - Money (That's What I Want) HQ
00d713fca6f8e14f,Saving All My Love for You
00e2d0f10acc6500,Sam Hunt- Take Your Time (Audio)
00e5b8baffbb1b0d,Faith Evans - You Used to Love Me
00e8c01f70972b68,Jon B & Babyface Someone To Love Cover
01021ee610e95cef,Without Love
01113434eacdb5a4,1960 HITS ARCHIVE: Mission Bell - Donnie Brooks
0120592a57cc7ba9,[Audio] PINK - Just Like Fire
0126b78d75221deb,Ain't Nothing Like The Real Thing
013715f65a74a316,Johnny Rivers - Seventh Son.
013a29c819217a21,The Mamas & The Papas - California Dreamin' (Audio)
01498c409b520921,Cardi B & Bruno Mars - Please Me (Official Audio)
014f0f30a09f833f,Cruel Summer - Ace of Base, HD sound  (HD, 320kbps) w/Lyrics
015178dff0a3c275,Patches (dickey lee)
0153f11caaf3d5a3,Help Me, Rhonda (Remastered)
01603d3c3fba78fa,Top Of The World
017c8784bb495a56,Marvin Gaye - Let's Get It On (Official Audio)
01849e35b22f9d23,Nirvana - Smells Like Teen Spirit [Nevermind] [HQ Sound]
0184c0ecdb28c2ac,Let It Be (Remastered 2009)
018751938b1dc4ff,Affair of the Heart
018c9b73e76ac936,Kyrie
0194058a4088043a,Avant - Read Your Mind
019b86b1e2737788,Sara Bareilles - Brave (Audio)
01b969760ae6ccf2,Bazzi - Beautiful feat. Camila [Official Audio]
01c5a52506f9c143,White Lion - When The Children Cry HQ Audio
01c6e9cadf9ef2bb,Justin Timberlake - SexyBack (Official Video) ft. Timbaland
01ca94756ef765f6,Rob Thomas - Her Diamonds (Cradlesong 10 Year Anniversary) [Official Audio]
01cffe94ae1cc6ed,Gloria Gaynor - I Will Survive
01e1c7ee844a5d82,When I'm Gone
01e383c89b487685,Runaway
01e992926215fc3a,Justin Bieber - One Time
01f543383736c220,Michael Jackson - In The Closet
02064d84d52b1f83,Adele - Lovesong
020750fb56b06e35,TLC - Ain't 2 Proud 2 Beg
020cd99a223058ef,Nelly Furtado - I'm Like a Bird (Audio)
02105bfbdfe655dc,Stevie Nicks - Edge of Seventeen (2019 Remaster) (Official Audio)
0254f830df9de023,Ne-Yo - Let Me Love You (Until You Learn To Love Yourself)
025535f8d579f945,I Don't Have the Heart
02577422bd450c5f,The Show Goes On
026427ff19b160f6,Calvin Harris, Dua Lipa - One Kiss (Lyric Video)
0270bb06922e8a80,Sailcat - Motorcycle Mama
02725cdd4b052109,Aretha Franklin - Respect (Official Audio)
0274288bbb1ee264,Avril Lavigne - Don't Tell Me 
02947151e09afe80,Tesla - Love Song (HQ)
02979dc62e9a9e9c,We've Only Just Begun
02acf36cb3911aa8,Jason Derulo - The Other Side
02b43366157a592e,A Whole New World (Aladdin's Theme)
02bbcb489170f8e0,There! I've Said It Again
02befe76a382e73f,Shake it off - Mariah Carey
02c895369c641ef5,I Won't Hold You Back
02ed787518cb9e59,Laura Branigan - Gloria (1982) 
02ef97bfff97adda,You Say - Lauren Daigle
0306897fa8c101ac,Neil Sedaka - Laughter In The Rain
0306c810f99eaaff,Method of Modern Love
030f2d621239db9a,
031be3c79dc1ba3d,Young Girl
031cdd2ae0ef70a0,ScHoolboy Q - Studio (Explicit) (Official Music Video) ft. BJ The Chicago Kid
03321db2c0bdfda1,Backstreet Boys - Incomplete
03329b136dfb4f21,Biggest Part of Me (Remastered Version)
0344a1313ac53a98,Nicki Minaj Pound The Alarm (Audio)
035aac9294063b27,Mellow Man Ace - Mentirosa
03601abcc471c551,Dang Me (Re-Recorded In Stereo)
0366602a0ddf4763,1961 HITS ARCHIVE: I Fall To Pieces - Patsy Cline (#1 C&W hit)
03983968097dfeba,I'm Sprung
03a34ac23784753c,With You
03b89d6433d64296,
03bd20d47a81331b,Lou Christie - Two Faces Have I
03be0cebfbe5fb66,KEEP SEARCHIN--DEL SHANNON (NEW ENHANCED VERSION) 720p
03bf31996a107191,
03c1ad5a03dfc9db,Paul Simon - Mother and Child Reunion (Official Audio)
03d18ba3d8c34c79,Easy To Be Hard
03eb3dcb6e573812,Maroon 5 - Don't Wanna Know ft. Kendrick Lamar (Audio)
03ef58d2a1418ad4,Burt Bacharach / Dionne Warwick ~ Message To Michael
03f516cb84a047c8,Steve Winwood - Roll With It
03f7b4c6eaa5b71f,
03fdf942eebfb70f,Bobby Vinton Please Love Me Forever
0412b90e05dbd759,Post Malone - Wow. (Official Audio)
04154c76eacfde72,Justin Bieber - Holy ft. Chance The Rapper
041645582ba0475c,Lil Wayne - 6 Foot 7 Foot ft. Cory Gunz (Explicit) (Official Music Video)
041b4926736bb691,Jason Aldean - You Make It Easy
042c95233428c24c,M - Pop Muzik (Official HD Video)
0432dde214334e29,YNW Melly feat. Juice WRLD - Suicidal Remix [Official Audio]
043d6e67bc3d01c8,Julia Michaels - Heaven
0455229f2fd34fcb,Drake - Take Care ft. Rihanna
0458a6521fd860a8,Carly Rae Jepsen - Call Me Maybe (Audio)
0459790b2f288bdb,Florida Georgia Line - Simple (Official Audio)
045cd90bd5e7f401,Dean Lewis - Be Alright (Official Audio)
0482438c4147116f,Indian Lake
048582e2f2f8ed8c,Baby I Love You
04881bd10b42f8bf,Don't Stop (2004 Remaster)
048d7f5e41270aed,Lil Sammie - I Like It (Audio)
0492d60c7a84ea98,
049b217db2647999,The All-American Rejects - It Ends Tonight
049ef91bccfcdb04,John Mayer - Your Body Is A Wonderland
04a1e3ca43a98350,Imagine Dragons - Natural (Audio)
04a90c7fd2df1d94,3T - Anything
04a9bcadfb7199b9,
04be25dab9635618,Lonely Boy (2020 Remaster)
04c4481f87b14f49,Gladys Knight & The Pips - I've Got to Use My Imagination (Audio)
04d117c7ebaacf1c,Sweet Inspiration
04e1bd76fe0adfee,
04e3e995c7980c1d,Strong Enough
04e7ea80669f9bc4,The Four Seasons - Dawn (Go Away) (Official Audio)
0506967538dcef48,Katy Perry - Firework (Audio)
050d7a033d79f121,The Little Dippers ~ Forever (Stereo)
051c40a1e2dbdb3a,Taylor Swift - 22 (Audio)
0523c86d1c5967b0,1962 HITS ARCHIVE: Johnny Get Angry - Joanie Sommers
05265428e69f5436,Lady Marmalade
05315cc83e38919a,Ariana Grande - break up with your girlfriend, i'm bored (Official Video)
0533e08c7781912d,Odyssey - Native New Yorker (Audio)
053991097ce1f29f,Jermaine Jackson - Let's Get Serious (Long Version)
0551af82545f0599,
057f34b4de1304a7,Green Day - Holiday (Audio)
057fab61de15c2a9,
0587031078fcb63c,
059d9caafcf50418,Sensitivity
05a2bb1f2c5a0e68,Fanny (Be Tender With My Love)
05adff511891df33,Electric Light Orchestra - Turn To Stone (Audio)
05b4588a78a7d340,The Rose
05b9602f127dcaf9,Count Me In
05b9727e627f9d4a,Ray Parker Jr. - Ghostbusters (Official Audio)
05bf662cdcc77f03,The Drifters - Save the Last Dance for Me - Cover
05c6d8787eb06595,Ben
05c86702b2ff79e3,
05f1a2d1a0522983,Peter Paul and Mary - If I Had a Hammer - [HQ LP transfer]
05f3e320b0432bbd,Bonnie Pointer - Heaven Must Have Sent You (Disco Version) (Slayd5000)
05fc532920d8f54a,Billy Ocean - When The Going Gets Tough
06158cac6ab8da43,Evelyn Champagne King - Shame (Audio)
061d922ab912dc5e,Meat Loaf | I'd Do Anything For Love (But I Won't Do That) [HQ]
062f8eb5cc0c373e,Janet Jackson - Black Cat
0638096926a7957c,Church Of The Poison Mind
06408940f27cbdbf,If You Had My Love
06421fed12265cb0,
066eeee61ade0bb6,
06952484b7621c0d,Billy Joel - Allentown (Audio)
069875519c0d5997,
069c83598269e1a1,
06bc653464ccc85c,Dan + Shay, Justin Bieber - 10,000 Hours (Official Music Video)
06bfd250cfd07e08,TLC - Diggin' On You (Audio)
06c533ce8594a003,Spin Doctors Two Princes (Audio)
06cd2a9fb34f8e4e,Jungle Boogie
06d738e221e50c0c,West End Girls
06dd26cff207986c,Florida Georgia Line - Cruise (Remix) ft. Nelly
06de30283cbcce2a,How Am I Supposed to Live without You
06e54541aaf7eb87,
06f044b8eb264c35,Gym Class Heroes Stereo Hearts ft Adam Levine (Audio)
06f716e4f1f1014f,Ryan Cabrera- True
070fcf26b94d0cd6,Starbuck - Moonlight Feels Right
0715aacd23790c69,Michael Jackson - Butterflies (Audio)
0718bb190e9ebf54,Where Is the Love
07294392a7b192de,Onyx - Slam [audio]
0731c22262b8970f,
07369722f6e4b993,Icehouse - Electric Blue 1987
073d9ce95d45f2a8,If I Had No Loot
07513cf4a5cad39e,Radar Love
076a48e94158085f,Do You Know the Way to San Jose (2013 Remaster)
078649eb23210c60,
07a9587afd3d0cbe,Travelin' Man (Remastered)
07ac578a0df05186,Gorillaz - Feel Good Inc. (Official Video)
07b410e12b5a3d3f,Down on Me by Jeremih ft 50 cent( Audio )
07b5431acb94619a,Sweet Love
07cdd242cf90ee55,Ray Stevens - Misty (Official Audio)
07e1302d08911bfe,
07f39ec98594c22a,
080446ff33671abb,Glad All Over (2019 Remaster)
0820b84af73b6c6a,Bell Biv Devoe - Poison - High Quality FULL SONG!
083250dc6352ffdd,Jessica Andrews - Who I Am
083465d95d4bc3f9,Becky G - Shower (Audio)
084d8afec8e4722f,Usher - OMG (ft. Will-I-Am)
0852017ef02fca21,Midnight Confessions
08535577b7021a6a,Mel Carter - Hold Me, Thrill Me, Kiss Me - Original Stereo LP - HQ
085401b2b37d25d9,Beach Baby
085fd95f26b722cc,John Legend - Green Light (Official Video) ft. André 3000
086c00b67bea6618,Lewis Capaldi - Someone You Loved (Official Audio)
086dd9a03e48649b,Haddaway - What Is Love [Official 4K]
0874efded47e4d08,
0884573c63081b01,The All-American Rejects - Move Along
089fe5fd82c874e6,
08a58e67791f0d3a,24kGoldn - Mood (Official Video) ft. iann dior
08ba64e995be3d1e,Bits and Pieces (2019 Remaster)
08c6aa7987fb5a6f,
08c7facd25ce5a00,Kane Brown, Swae Lee, Khalid - Be Like That (feat. Swae Lee & Khalid [Official Video])
08c922dcb8928a91,The Logical Song
08cb1db04fd92b79,Time (2019 Remaster)
08cd4c442dc9a29d,Harry Chapin - Taxi
08de27194d771736,Mouth And MacNeal How Do You Do
08e63d2c3ca51ea0,Black Eyed Peas - I Gotta Feeling (Audio)
08ecf8bd4c07dcb4,
